ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
ko01230	Biosynthesis of amino acids	26/579	51/3325	3.4781236907890956e-8	1.1025652099801432e-5	1.006825278912633e-5	K01807/K01953/K01623/K00548/K00789/K00031/K00500/K14455/K00927/K01689/K14454/K00948/K01834/K01915/K01803/K00826/K01754/K12657/K01697/K14677/K01758/K00134/K00831/K00873/K00264/K00600	26
ko04080	Neuroactive ligand-receptor interaction	27/579	61/3325	7.614486916124038e-7	1.20689617620566e-4	1.1020967904916373e-4	K04153/K04208/K04162/K04261/K04160/K04280/K04811/K04578/K05197/K05198/K04148/K04585/K08375/K04145/K04239/K05175/K05210/K04210/K04168/K25484/K25483/K04131/K04586/K04282/K04226/K04194/K04149	27
ko01110	Biosynthesis of secondary metabolites	80/579	284/3325	1.6579392027149635e-6	1.7518890908688116e-4	1.599765897356544e-4	K01597/K01810/K08099/K01807/K00700/K05901/K01953/K00106/K02437/K05357/K01623/K00548/K00844/K00121/K00015/K01047/K00789/K00031/K05280/K15728/K13523/K10106/K09831/K00128/K00816/K00025/K00281/K01596/K14621/K14455/K00927/K01689/K14454/K00948/K10258/K00318/K01834/K00626/K24873/K00273/K11529/K00222/K13509/K01803/K00826/K01754/K11188/K03783/K00602/K13240/K10203/K12657/K01697/K18966/K01858/K00760/K00010/K14677/K06981/K19177/K00547/K01053/K01758/K00940/K00605/K00134/K01648/K07508/K00228/K13506/K00276/K00831/K00873/K12316/K03841/K00264/K00600/K00815/K06928/K00049	80
ko01120	Microbial metabolism in diverse environments	44/579	132/3325	4.554768512894077e-6	3.609654046468556e-4	3.296214055383872e-4	K12661/K01810/K00846/K01807/K00106/K01623/K00844/K00121/K00015/K00031/K01061/K00128/K00025/K01596/K00306/K14455/K00927/K01070/K01689/K14454/K00948/K01834/K00626/K01915/K00863/K11529/K01803/K22211/K00387/K00010/K01053/K00134/K01648/K01011/K01426/K00275/K00831/K00873/K03841/K00264/K00600/K01800/K00049/K25004	44
ko00270	Cysteine and methionine metabolism	18/579	37/3325	1.1118821488228509e-5	7.049332823536874e-4	6.437212440553348e-4	K09880/K00548/K00789/K11205/K00816/K00025/K14455/K00772/K14454/K00826/K01697/K00547/K01758/K08967/K01011/K00831/K00815/K05810	18
ko00260	Glycine, serine and threonine metabolism	16/579	34/3325	5.8057304323434586e-5	0.003067360911754794	0.0028010102963060553	K16066/K02437/K00281/K00306/K01834/K00273/K11529/K01754/K01697/K00060/K01758/K00605/K00276/K00831/K00600/K00049	16
ko01523	Antifolate resistance	10/579	16/3325	6.980128388645298e-5	0.003161000998857942	0.0028865192584623415	K13649/K00560/K05681/K14613/K00602/K05665/K01307/K00600/K05673/K25004	10
ko04977	Vitamin digestion and absorption	8/579	12/3325	2.0736040140909972e-4	0.007712039655714736	0.00704237391772058	K14622/K14621/K14613/K13885/K05665/K14386/K14611/K14616	8
ko00480	Glutathione metabolism	13/579	27/3325	2.1895380726003985e-4	0.007712039655714736	0.00704237391772058	K00799/K00383/K00031/K10807/K11205/K04097/K11188/K05360/K00432/K10808/K18592/K01255/K23790	13
ko04975	Fat digestion and absorption	9/579	15/3325	2.564336342848693e-4	0.007855159886119975	0.0071730664741258285	K14452/K01047/K14074/K14455/K05684/K00626/K11155/K13885/K13509	9
ko00680	Methane metabolism	10/579	18/3325	2.7257652601678147e-4	0.007855159886119975	0.0071730664741258285	K01623/K00121/K01070/K01689/K01834/K00863/K11529/K00831/K03841/K00600	10
ko01200	Carbon metabolism	29/579	91/3325	4.7693952500124344e-4	0.012104267364448492	0.011053207787558812	K01810/K01807/K02437/K01623/K00844/K00121/K00031/K00025/K00281/K14455/K00927/K01070/K01689/K14454/K00948/K01834/K00626/K00863/K11529/K01803/K01754/K01053/K00605/K00134/K00027/K00831/K00873/K03841/K00600	29
ko00710	Carbon fixation in photosynthetic organisms	9/579	16/3325	4.963895133685502e-4	0.012104267364448492	0.011053207787558812	K01807/K01623/K00025/K14455/K00927/K14454/K01803/K00134/K03841	9
ko00983	Drug metabolism - other enzymes	12/579	26/3325	6.250662624312575e-4	0.014153286085050615	0.012924302418691417	K00799/K00106/K00857/K10807/K01520/K03927/K00760/K13421/K10808/K00569/K00940/K23790	12
ko00360	Phenylalanine metabolism	7/579	11/3325	8.106196470211895e-4	0.017131095207047805	0.015643537047777344	K00500/K14455/K14454/K01426/K00276/K00815/K00457	7
ko00051	Fructose and mannose metabolism	10/579	21/3325	0.0013303190072088123	0.026356945330324594	0.02406827151200154	K12661/K00846/K01623/K00844/K01805/K14634/K00863/K02377/K01803/K03841	10
ko00980	Metabolism of xenobiotics by cytochrome P450	7/579	12/3325	0.0016551825908781154	0.030864287135786036	0.028184223683683084	K00799/K17712/K00121/K04097/K00078/K23790/K07410	7
ko00630	Glyoxylate and dicarboxylate metabolism	12/579	29/3325	0.002023112775349187	0.035629263876982904	0.03253543936965067	K02437/K00015/K00025/K00281/K07130/K00626/K01915/K11529/K01816/K00605/K00600/K00049	12
ko00010	Glycolysis / Gluconeogenesis	13/579	33/3325	0.00225578149581179	0.03763593337749145	0.034367862124556364	K01810/K01623/K00844/K00121/K00128/K01596/K00927/K01689/K01834/K01803/K00134/K00873/K03841	13
ko01232	Nucleotide metabolism	17/579	49/3325	0.002573711979104402	0.04079333486880477	0.03725109443440582	K00106/K00857/K00560/K10807/K07023/K19572/K01520/K01493/K00364/K16904/K03783/K00760/K10808/K00940/K01240/K05810/K06928	17
ko00330	Arginine and proline metabolism	12/579	30/3325	0.002849047569112199	0.043007051400407954	0.0392725855391406	K00128/K14455/K11394/K14454/K00318/K00273/K13240/K12657/K01426/K00472/K00934/K11182	12
ko00982	Drug metabolism - cytochrome P450	6/579	10/3325	0.0030308969720583517	0.04367247000647716	0.03988022331655727	K00799/K17712/K00121/K04097/K00485/K23790	6
